Name	Input(s)	Output(s)	Duration	Produced With	Changes
Conveyor Pole	Iron Rod(1), Iron Plate(1), Concrete(1)	Conveyor Pole(1)	1	Build Tool	
Conveyor Belt	Iron Plate(1)	Conveyor Belt(1)	1	Build Tool	
Power Line	Cable(1)	Power Line(1)	1	Build Tool	
Power Pole	Wire(3), Iron Rod(1), Concrete(1)	Power Pole(1)	1	Build Tool	
The HUB	HUB Parts(1)	The HUB(1)	1	Build Tool	
Space Elevator	Concrete(500), Iron Plate(250), Iron Rod(400), Wire(1500)	Space Elevator(1)	1	Build Tool	
Constructor	Reinforced Iron Plate(2), Cable(8)	Constructor(1)	1	Build Tool	Input Amt Changed: Reinforced Iron Plate(3=>2), Input Amt Changed: Cable(2=>8)
Miner Mk.1	Portable Miner(1), Iron Plate(10), Concrete(10)	Miner Mk.1(1)	1	Build Tool	Input Added: Iron Plate(10), Input Amt Changed: Concrete(5=>10), Input Removed: Iron Rod(5)
Smelter	Iron Rod(5), Wire(8)	Smelter(1)	1	Build Tool	
Storage Container	Iron Plate(10), Iron Rod(10)	Storage Container(1)	1	Build Tool	
Craft Bench	Iron Plate(3), Iron Rod(3)	Craft Bench(1)	1	Build Tool	
Equipment Workshop	Iron Plate(5), Iron Rod(5)	Equipment Workshop(1)	1	Build Tool	Input Amt Changed: Iron Plate(6=>5), Input Amt Changed: Iron Rod(6=>5)
Portable Miner	Iron Plate(3), Iron Rod(3)	Portable Miner(1)	40	Workshop	Input Amt Changed: Iron Plate(4=>3), Input Added: Iron Rod(3), Input Removed: Wire(8), Input Removed: Cable(4)
Cable	Wire(2)	Cable(1)	2	Constructor, Workbench	Duration Changed(4.0=>2.0)
Wire	Copper Ingot(1)	Wire(2)	4	Constructor, Workbench	Output Amt Changed: Wire(3=>2)
Copper Ingot	Copper Ore(1)	Copper Ingot(1)	2	Smelter, Workbench	Duration Changed(8.0=>2.0)
Reinforced Iron Plate	Iron Plate(6), Screw(12)	Reinforced Iron Plate(1)	12	Assembler, Workbench	Input Amt Changed: Iron Plate(4=>6), Input Amt Changed: Screw(24=>12)
Concrete	Limestone(3)	Concrete(1)	4	Constructor, Workbench	
Screw	Iron Rod(1)	Screw(4)	6	Constructor, Workbench	Output Amt Changed: Screw(6=>4), Duration Changed(4.0=>6.0)
Biomass (Leaves)	Leaves(10)	Biomass(5)	5	Constructor, Workbench	Output Amt Changed: Biomass(6=>5), Duration Changed(4.0=>5.0)
Biomass (Wood)	Wood(4)	Biomass(20)	4	Constructor, Workbench	Input Amt Changed: Wood(5=>4), Output Amt Changed: Biomass(25=>20)
Biomass Burner	Iron Plate(15), Iron Rod(15), Wire(25)	Biomass Burner(1)	1	Build Tool	Input Amt Changed: Iron Plate(10=>15), Input Amt Changed: Iron Rod(10=>15), Input Amt Changed: Wire(15=>25)
Solid Biofuel	Biomass(8)	Solid Biofuel(4)	4	Constructor, Workbench	Input Amt Changed: Biomass(4=>8), Output Amt Changed: Solid Biofuel(2=>4)
Iron Plate	Iron Ingot(3)	Iron Plate(2)	6	Constructor, Workbench	Input Amt Changed: Iron Ingot(2=>3), Output Amt Changed: Iron Plate(1=>2), Duration Changed(4.0=>6.0)
Iron Rod	Iron Ingot(1)	Iron Rod(1)	4	Constructor, Workbench	
Xeno-Zapper	Iron Rod(10), Reinforced Iron Plate(2), Cable(15), Wire(50)	Xeno-Zapper(1)	40	Workshop	
Coal	Coal(1)	Coal(1)	2	Miner	
Crude Oil	Crude Oil(1)	Crude Oil(1)	2	Oil Extractor	Input Added: Crude Oil(1), Input Removed: Desc_CrudeOil_C(1), Output Added: Crude Oil(1), Output Removed: Desc_CrudeOil_C(1)
Limestone	Limestone(1)	Limestone(1)	2	Miner	
Bauxite	Bauxite(1)	Bauxite(1)	2	Miner	
Caterium Ore	Caterium Ore(1)	Caterium Ore(1)	2	Miner	
Copper Ore	Copper Ore(1)	Copper Ore(1)	2	Miner	
Iron Ore	Iron Ore(1)	Iron Ore(1)	2	Miner	
Uranium	Uranium(1)	Uranium(1)	2	Miner	
Raw Quartz	Raw Quartz(1)	Raw Quartz(1)	2	Miner	
Sulfur	Sulfur(1)	Sulfur(1)	2	Miner	
Iron Ingot	Iron Ore(1)	Iron Ingot(1)	2	Smelter, Workbench	Duration Changed(8.0=>2.0)
Fence 1	Iron Rod(5)	Fence 1(1)	1	Build Tool	
Stairs	Concrete(4), Iron Plate(2)	Stairs(1)	1	Build Tool	
Wall Conveyor Perpendicular	Iron Plate(3), Concrete(3)	Wall Conveyor Perpendicular(1)	1	Build Tool	
Wall Conveyor Perpendicular	Iron Plate(3), Concrete(3)	Wall Conveyor Perpendicular(1)	1	Build Tool	
Window 8m x 4m 03	Iron Plate(3), Concrete(3)	Window 8m x 4m 03(1)	1	Build Tool	
Window 8m x 4m 03	Iron Plate(3), Concrete(3)	Window 8m x 4m 03(1)	1	Build Tool	
Alternate: Adhered Iron Plate	Iron Plate(3), Rubber(2)	Reinforced Iron Plate(1)	16	Assembler	new
Circuit Board	Copper Sheet(2), Plastic(4)	Circuit Board(1)	8	Assembler, Workbench	Input Added: Copper Sheet(2), Input Amt Changed: Plastic(6=>4), Input Removed: Wire(12), Output Amt Changed: Circuit Board(2=>1), Duration Changed(12.0=>8.0)
Oil Extractor	Motor(15), Encased Industrial Beam(20), Cable(60)	Oil Extractor(1)	1	Build Tool	Input Amt Changed: Motor(10=>15), Input Added: Encased Industrial Beam(20), Input Amt Changed: Cable(30=>60), Input Removed: Heavy Modular Frame(5)
Refinery	Motor(10), Encased Industrial Beam(10), Steel Pipe(30), Copper Sheet(20)	Refinery(1)	1	Build Tool	Input Amt Changed: Motor(8=>10), Input Added: Encased Industrial Beam(10), Input Amt Changed: Steel Pipe(20=>30), Input Added: Copper Sheet(20), Input Removed: Heavy Modular Frame(4), Input Removed: Cable(25)
Fuel	Crude Oil(6)	Fuel(4), Polymer Resin(3)	6	Oil Refinery	new
Petroleum Coke	Heavy Oil Residue(2)	Petroleum Coke(6)	6	Oil Refinery	new
Plastic	Crude Oil(3)	Plastic(2), Heavy Oil Residue(1)	6	Oil Refinery	Input Added: Crude Oil(3), Input Removed: Desc_CrudeOil_C(4), Output Amt Changed: Plastic(3=>2), Output Added: Heavy Oil Residue(2), Duration Changed(8.0=>6.0)
Rubber	Crude Oil(3)	Rubber(2), Heavy Oil Residue(2)	6	Oil Refinery	Input Added: Crude Oil(3), Input Removed: Desc_CrudeOil_C(4), Output Amt Changed: Rubber(4=>2), Output Added: Heavy Oil Residue(1), Duration Changed(8.0=>6.0)
Residual Fuel	Heavy Oil Residue(3)	Fuel(2)	6	Oil Refinery	new
Residual Plastic	Polymer Resin(3), Water(2)	Plastic(1)	6	Oil Refinery	new
Residual Rubber	Polymer Resin(2), Water(4)	Rubber(1)	6	Oil Refinery	new
Alternate: Bolted Frame	Reinforced Iron Plate(3), Screw(56)	Modular Frame(2)	24	Assembler	new
Modular Frame	Reinforced Iron Plate(3), Iron Rod(12)	Modular Frame(2)	60	Assembler, Workbench	Input Amt Changed: Iron Rod(6=>12), Output Amt Changed: Modular Frame(1=>2), Duration Changed(15.0=>60.0)
Rotor	Iron Rod(5), Screw(25)	Rotor(1)	15	Assembler, Workbench	Input Amt Changed: Iron Rod(3=>5), Input Amt Changed: Screw(22=>25), Duration Changed(10.0=>15.0)
Assembler	Reinforced Iron Plate(8), Rotor(4), Cable(10)	Assembler(1)	1	Build Tool	Input Added: Reinforced Iron Plate(8), Input Removed: Modular Frame(3)
Copper Sheet	Copper Ingot(2)	Copper Sheet(1)	6	Constructor, Workbench	new
Smart Plating	Reinforced Iron Plate(1), Rotor(1)	Smart Plating(1)	30	Assembler	new
Alternate: Coated Cable	Wire(7), Heavy Oil Residue(2)	Cable(9)	8	Oil Refinery	new
Alternate: Coated Iron Plate	Iron Ingot(10), Plastic(4)	Iron Plate(15)	12	Assembler	new
Alternate: Coke Steel Ingot	Iron Ore(15), Petroleum Coke(15)	Steel Ingot(20)	12	Foundry	new
Alternate: Copper Alloy Ingot	Copper Ore(10), Iron Ore(5)	Copper Ingot(20)	12	Foundry	new
Alternate: Copper Rotor	Copper Sheet(6), Screw(52)	Rotor(3)	16	Assembler	new
Alternate: Diluted Packaged Fuel	Packaged Heavy Oil Residue(1), Packaged Water(2)	Packaged Fuel(2)	2	Oil Refinery	new
Alternate: Electrode - Aluminum Scrap	Alumina Solution(3), Coal(1)	Aluminum Scrap(5), Water(1)	2	Oil Refinery	new
Electromagnetic Control Rod	Stator(3), A.I. Limiter(2)	Electromagnetic Control Rod(2)	30	Assembler, Workbench	Output Amt Changed: Electromagnetic Control Rod(1=>2)
Encased Uranium Cell	Uranium Pellet(40), Concrete(9)	Encased Uranium Cell(10)	60	Assembler, Workbench	Input Added: Uranium Pellet(40), Input Removed: Uranium(45)
Conveyor Belt Mk.5	Alclad Aluminum Sheet(1)	Conveyor Belt Mk.5(1)	1	Build Tool	
Conveyor Lift Mk.5	Alclad Aluminum Sheet(2)	Conveyor Lift Mk.5(1)	1	Build Tool	
Nuclear Power Plant	Concrete(150), Heavy Modular Frame(10), Supercomputer(5), Cable(50), High-Speed Connector(15)	Nuclear Power Plant(1)	1	Build Tool	
Alclad Aluminum Sheet	Aluminum Ingot(8), Copper Ingot(3)	Alclad Aluminum Sheet(4)	8	Assembler, Workbench	Input Amt Changed: Aluminum Ingot(3=>8), Input Amt Changed: Copper Ingot(2=>3), Output Amt Changed: Alclad Aluminum Sheet(3=>4), Duration Changed(12.0=>8.0)
Nuclear Fuel Rod	Encased Uranium Cell(25), Encased Industrial Beam(3), Electromagnetic Control Rod(5)	Nuclear Fuel Rod(1)	150	Manufacturer	
Iodine Infused Filter	GasFilter(1), Quickwire(8), Rubber(2)	Iodine Infused Filter(1)	16	Workshop, Manufacturer, Workbench	
Hazmat Suit	Rubber(50), Plastic(50), Alclad Aluminum Sheet(50), Fabric(50)	Hazmat Suit(1)	120	Workshop	
Alumina Solution	Bauxite(7), Water(10)	Alumina Solution(8), Silica(2)	6	Oil Refinery	new
Aluminum Scrap	Alumina Solution(4), Petroleum Coke(1)	Aluminum Scrap(6), Water(1)	1	Oil Refinery	new
Aluminum Ingot	Aluminum Scrap(12), Silica(7)	Aluminum Ingot(4)	3	Foundry, Workbench	Input Added: Aluminum Scrap(12), Input Amt Changed: Silica(6=>7), Input Removed: Bauxite(7), Output Amt Changed: Aluminum Ingot(2=>4), Duration Changed(16.0=>3.0)
Alternate: Electrode Circuit Board	Rubber(6), Petroleum Coke(9)	Circuit Board(1)	12	Assembler	new
Alternate: Flexible Framework	Modular Frame(1), Steel Beam(6), Rubber(8)	Versatile Framework(2)	16	Manufacturer	new
Alternate: Fused Wire	Copper Ingot(4), Caterium Ingot(1)	Wire(30)	20	Assembler	new
Power Pole Mk.2	Quickwire(6), Iron Rod(2), Concrete(2)	Power Pole Mk.2(1)	1	Build Tool	Input Amt Changed: Quickwire(3=>6), Input Amt Changed: Iron Rod(1=>2)
Double-sided Wall Power Pole Mk.2	Quickwire(8), Iron Rod(3)	Double-sided Wall Power Pole Mk.2(1)	1	Build Tool	new
Wall Power Pole Mk.2	Quickwire(4), Iron Rod(1)	Wall Power Pole Mk.2(1)	1	Build Tool	new
Quickwire	Caterium Ingot(1)	Quickwire(5)	5	Constructor, Workbench	Output Amt Changed: Quickwire(4=>5), Duration Changed(4.0=>5.0)
